name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,now_cost,was_home,yellow_cards,predicted_performance
Benjamin White,DEF,Arsenal,9.0,2,3,37,0,47.0,29,0.26,0.26,0.0,0.97,271,1,0,9.9,48.4,2024-03-09T17:30:00Z,90,4,0,0,0,0,28,0,1269366,1,1,2,4.0,11,104603,116062,11459,56,True,0,11.134718243464166
John Stones,DEF,Man City,5.1,0,2,27,0,4.5,368,0.01,0.84,0.83,2.46,277,1,1,9.1,53.4,2024-03-10T15:45:00Z,90,11,0,0,0,0,28,0,306901,1,1,1,33.0,10,1115,5255,4140,53,False,0,9.962566751016485
Rayan Aït-Nouri,DEF,Wolves,6.0,0,2,26,0,14.1,545,0.06,0.35,0.29,2.7,280,1,1,10.2,43.6,2024-03-09T15:00:00Z,90,10,0,0,0,0,28,0,141662,1,1,2,44.0,10,2541,12430,9889,45,True,0,9.259052177061763
Cristian Romero,DEF,Spurs,6.3,0,2,35,1,1.0,511,0.01,0.01,0.0,0.97,272,0,0,2.6,25.2,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,0,917817,1,4,0,0.0,8,117246,127787,10541,50,False,0,8.313573336312892
Victor Lindelöf,DEF,Man Utd,2.2,0,1,29,1,2.3,386,0.01,0.37,0.36,1.48,278,0,0,5.8,13.8,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,0,32354,1,0,2,42.0,7,2375,3076,701,45,True,0,8.29440452017386
Jayden Bogle,DEF,Sheffield Utd,1.3,1,0,25,1,0.1,476,0.0,0.14,0.14,1.93,273,0,0,4.9,14.8,2024-03-09T15:00:00Z,68,3,0,0,0,0,28,0,10680,1,2,2,34.0,9,608,1053,445,45,False,0,8.082759346979238
Pedro Porro,DEF,Spurs,2.3,0,1,30,1,34.4,506,0.18,0.18,0.0,0.97,272,0,0,5.7,22.4,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,0,1554875,1,4,0,0.0,7,-93520,45303,138823,57,False,0,8.037485564454295
Diogo Dalot Teixeira,DEF,Man Utd,2.5,0,0,28,1,6.2,377,0.01,0.03,0.02,1.48,278,0,0,3.5,15.8,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,0,651935,1,0,2,13.0,6,27759,51326,23567,52,True,0,8.02974703244902
Jack Robinson,DEF,Sheffield Utd,1.0,0,0,28,0,10.3,576,0.03,0.17,0.14,3.34,273,2,1,11.4,71.0,2024-03-09T15:00:00Z,90,3,0,0,0,0,28,0,9245,1,2,2,33.0,7,118,300,182,43,False,0,7.710890529064823
Lewis Dunk,DEF,Brighton,7.2,0,1,27,1,0.7,129,0.01,0.04,0.03,0.68,274,0,0,3.2,24.4,2024-03-10T14:00:00Z,90,16,0,0,0,0,28,0,657085,1,0,1,7.0,7,16046,50926,34880,52,True,0,7.599737613842519
Jean-Philippe Mateta,FWD,Crystal Palace,5.7,0,2,23,1,22.3,232,0.04,1.2,1.16,0.66,276,0,1,13.7,36.8,2024-03-09T15:00:00Z,80,12,0,0,0,0,28,0,101264,1,1,1,78.0,8,-7569,12423,19992,49,True,0,14.514828594906392
Antoine Semenyo,FWD,Bournemouth,13.8,0,3,63,0,39.8,82,0.13,0.56,0.44,2.1,162,3,2,17.8,79.4,2024-03-13T19:30:00Z,90,12,0,0,0,0,28,0,300960,1,3,4,59.0,13,63943,76641,12698,45,True,0,12.065359305665883
Antoine Semenyo,FWD,Bournemouth,13.8,0,0,-1,0,8.5,82,0.04,0.58,0.54,1.27,273,2,0,6.4,9.0,2024-03-09T15:00:00Z,90,17,0,0,0,0,28,0,300960,1,2,2,46.0,2,63943,76641,12698,45,True,0,12.065359305665883
