;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
1;Max Aarons;eng ENG;DF;Bournemouth;23-301;2000;10;9;793;8.8;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.02;0.03;1.36;2.95;1.70;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
2;Bénie Adama Traore;ci CIV;FW,MF;Sheffield Utd;20-336;2002;6;3;325;3.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.14;0.19;1.94;2.50;3.61;0.00;0.00;0.00;0.00;0.00;0.07;0.13;0.20;0.07;0.20;Matches
3;Tosin Adarabioyo;eng ENG;DF;Fulham;26-038;1997;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
4;Elijah Adebayo;eng ENG;FW;Luton Town;25-298;1998;10;4;367;4.1;0.49;0.00;0.49;0.49;0.00;0.00;0.00;0.00;0.34;0.34;0.07;0.41;0.98;1.71;6.10;0.49;0.00;0.49;0.49;0.49;0.34;0.07;0.41;0.34;0.41;Matches
5;Simon Adingra;ci CIV;FW,DF;Brighton;21-304;2002;9;5;487;5.4;0.37;0.19;0.56;0.37;0.00;0.00;0.00;0.00;0.17;0.17;0.24;0.41;2.41;1.67;6.48;0.37;0.18;0.55;0.37;0.55;0.16;0.24;0.41;0.16;0.41;Matches
6;Nayef Aguerd;ma MAR;DF;West Ham;27-216;1996;9;9;786;8.7;0.11;0.00;0.11;0.11;0.00;0.00;0.23;0.11;0.10;0.10;0.00;0.10;0.69;1.95;0.00;0.11;0.00;0.11;0.11;0.11;0.10;0.00;0.10;0.10;0.10;Matches
7;Naouirou Ahamada;fr FRA;MF,FW;Crystal Palace;21-217;2002;4;0;59;0.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.14;7.14;8.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
8;Anel Ahmedhodži?;ba BIH;DF;Sheffield Utd;24-220;1999;8;8;720;8.0;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.11;0.11;0.00;0.11;0.38;1.38;1.25;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
9;Ola Aina;ng NGA;DF,MF;Nott'ham Forest;27-024;1996;7;6;468;5.2;0.00;0.00;0.00;0.00;0.00;0.00;0.58;0.00;0.00;0.00;0.00;0.02;2.12;2.50;0.96;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
