id,name,now_cost,position,team,red_cards,transfers_in_event,assists,saves,transfers_out,bonus,clean_sheets_per_90,cost_change_start,cost_change_event,starts,corners_and_indirect_freekicks_order,direct_freekicks_order,selected_rank_type,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,ict_index_rank_type,selected_rank,form_rank_type,creativity_rank_type,ep_this,cost_change_event_fall,points_per_game_rank,ict_index,threat,ict_index_rank,now_cost_rank_type,expected_assists_per_90,influence_rank_type,expected_goals_conceded,chance_of_playing_this_round,penalties_missed,web_name,selected_by_percent,expected_goals_per_90,chance_of_playing_next_round,saves_per_90,points_per_game_rank_type,clean_sheets,threat_rank_type,own_goals,expected_goals,news,news_added,form_rank,penalties_order,value_form,transfers_in,form,creativity,value_season,bps,goals_conceded,yellow_cards,goals_scored,expected_goal_involvements,influence_rank,creativity_rank,points_per_game,influence,minutes,penalties_saved,status,expected_assists,transfers_out_event,starts_per_90,threat_rank,cost_change_start_fall,dreamteam_count,in_dreamteam,ep_next,event_points,total_points,expected_goals_conceded_per_90
1,Folarin Balogun,44,FWD,Arsenal,0,0,0,0,59296,0,0.0,-1,0,0,,,47,0.0,525,0.0,59,303,57,60,0.0,0,606,0.0,0.0,600,92,0.0,57,0.00,0.0,0,Balogun,0.2,0.0,0.0,0.0,63,0,59,0,0.00,Transferred to Monaco,2023-08-31T08:55:15.272751Z,550,,0.0,10024,0.0,0.0,0.0,0,0,0,0,0.00,593,584,0.0,0.0,0,0,u,0.00,280,0.0,570,1,0,False,0.0,0,0,0.0
2,Cédric Alves Soares,39,DEF,Arsenal,0,775,0,0,28908,0,0.0,-1,0,0,,,96,0.0,712,0.0,159,248,119,157,1.0,0,466,0.0,0.0,461,226,0.0,160,0.00,,0,Cédric,0.4,0.0,,0.0,156,0,147,0,0.00,,,384,,0.0,27059,0.0,0.0,0.0,0,0,0,0,0.00,455,436,0.0,0.0,0,0,a,0.00,779,0.0,411,1,0,False,0.5,0,0,0.0
3,Mohamed Elneny,44,MID,Arsenal,0,386,1,0,14168,0,0.0,-1,0,0,,,129,0.0,493,0.0,207,400,115,208,2.0,0,57,0.4,2.0,443,282,0.0,206,0.00,100.0,0,M.Elneny,0.1,0.0,100.0,0.0,31,0,197,0,0.00,,2023-08-11T13:00:06.079379Z,245,,0.2,11440,1.0,0.5,0.9,12,0,0,0,0.00,441,417,4.0,1.8,1,0,a,0.00,415,0.0,395,1,0,False,1.5,0,4,0.0
4,Fábio Ferreira Vieira,54,MID,Arsenal,1,37,3,0,15533,0,0.38,-1,0,2,5.0,,127,0.59,126,0.76,110,390,114,112,2.2,0,179,21.9,77.0,225,81,0.13,102,1.48,100.0,0,Fábio Vieira,0.1,0.46,0.0,0.0,78,1,91,0,1.20,Suspended until 09 Dec,2023-11-12T02:00:08.552136Z,241,4.0,0.2,11345,1.2,63.6,3.9,62,2,0,1,1.55,255,190,2.6,79.4,236,0,s,0.35,905,0.76,149,1,0,False,0.0,-2,21,0.56
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,0,18304,0,0,2272040,2,0.36,-2,0,8,,,7,0.05,302,0.85,73,23,77,102,2.2,0,145,21.1,46.0,234,35,0.01,65,7.50,100.0,0,Gabriel,14.9,0.04,100.0,0.0,49,3,52,0,0.34,,2023-09-30T23:00:07.672676Z,235,,0.3,853769,1.2,26.6,6.0,142,7,1,0,0.45,164,304,2.9,137.8,744,0,a,0.11,15886,0.97,208,2,0,False,1.7,2,29,0.91
6,Kai Havertz,71,MID,Arsenal,0,1077,1,0,347790,0,0.38,-4,0,8,,,43,0.38,28,0.76,64,144,107,64,2.5,0,230,37.3,147.0,112,16,0.09,93,6.22,,0,Havertz,1.5,0.29,,0.0,100,3,41,0,2.30,,,225,3.0,0.2,38453,1.5,129.8,3.5,64,6,4,1,2.99,235,89,2.1,96.4,711,0,a,0.69,2062,1.01,67,4,0,False,2.0,1,25,0.79
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,0,653,1,0,518583,2,0.5,-2,0,4,,,22,0.5,15,0.99,30,132,43,33,0.4,0,182,26.9,144.0,194,6,0.07,33,4.22,25.0,0,G.Jesus,1.9,0.43,25.0,0.0,24,2,25,0,1.71,Hamstring injury - 25% chance of playing,2023-10-24T23:30:07.618920Z,337,,0.1,401748,0.5,58.7,2.3,51,4,2,1,2.01,276,210,2.6,67.8,362,0,d,0.30,5017,0.99,70,2,0,False,0.2,0,18,1.05
9,Jorge Luiz Frello Filho,53,MID,Arsenal,0,382,0,0,14998,0,0.24,-2,0,4,,,97,0.09,132,1.42,139,326,103,111,2.5,0,318,12.3,9.0,309,83,0.07,130,4.68,100.0,0,Jorginho,0.2,0.02,100.0,0.0,149,1,181,0,0.09,,2023-08-07T15:30:05.168632Z,220,,0.3,7279,1.5,64.7,2.5,60,6,1,0,0.39,304,187,1.4,49.6,381,0,a,0.30,283,0.94,356,2,0,False,2.0,2,13,1.11
10,Jakub Kiwior,43,DEF,Arsenal,0,103,0,0,7352,0,0.49,-2,0,2,,,163,0.18,597,0.99,134,423,52,137,2.8,0,213,5.3,16.0,373,153,0.02,136,0.87,,0,Kiwior,0.1,0.16,,0.0,73,1,105,0,0.32,,,174,,0.4,3690,1.8,6.4,2.1,42,2,0,0,0.37,353,376,2.2,29.4,182,0,a,0.05,162,0.99,314,2,0,False,2.3,1,9,0.43
11,Marcus Oliveira Alencar,45,MID,Arsenal,0,0,0,0,11419,0,0.0,0,0,0,,,178,0.0,427,0.0,266,514,239,263,0.0,0,662,0.0,0.0,658,246,0.0,262,0.00,0.0,0,Marquinhos,0.0,0.0,0.0,0.0,269,0,258,0,0.00,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,615,,0.0,819,0.0,0.0,0.0,0,0,0,0,0.00,652,648,0.0,0.0,0,0,u,0.00,50,0.0,638,0,0,False,0.0,0,0,0.0
12,Gabriel Martinelli Silva,78,MID,Arsenal,0,10828,2,0,1406057,0,0.25,-2,0,9,2.0,3.0,17,0.34,16,1.0,19,53,68,17,3.2,0,129,71.7,268.0,27,9,0.19,52,5.89,100.0,0,Martinelli,7.4,0.15,75.0,0.0,55,2,16,0,1.22,Muscle injury - 75% chance of playing,2023-11-12T02:00:08.588141Z,143,,0.3,737801,2.2,287.0,4.0,137,8,0,1,2.75,130,22,3.1,163.0,721,0,d,1.53,37111,1.12,29,2,0,False,2.0,2,31,0.74
13,Eddie Nketiah,57,FWD,Arsenal,0,38869,2,0,764066,5,0.7,2,0,9,,,6,0.41,86,0.59,13,38,7,16,4.5,0,52,53.4,272.0,59,27,0.04,14,5.63,75.0,0,Nketiah,10.2,0.37,100.0,0.0,10,6,13,0,3.14,,2023-11-09T08:30:08.250179Z,32,,0.9,1368140,5.0,90.6,8.8,159,5,2,5,3.45,121,145,4.2,179.4,766,0,a,0.31,47692,1.06,27,-2,1,False,5.5,1,50,0.66
14,Martin Ødegaard,83,MID,Arsenal,0,1880,2,0,2073988,6,0.46,-2,-1,9,3.0,1.0,10,0.43,10,0.8,26,27,163,27,1.1,1,17,65.3,197.0,37,7,0.13,31,7.61,75.0,0,Ødegaard,14.2,0.3,75.0,0.0,10,4,27,0,2.61,Hip injury - 75% chance of playing,2023-11-04T21:00:08.152623Z,338,2.0,0.1,1077105,0.5,239.2,5.8,161,7,1,3,3.77,81,34,5.3,217.4,789,0,d,1.16,83773,1.03,44,2,1,False,0.8,0,48,0.87
15,Thomas Partey,48,MID,Arsenal,0,10,0,0,35484,0,0.36,-2,0,3,,,104,0.11,290,0.72,137,343,272,119,0.0,0,271,13.1,15.0,303,190,0.08,124,2.53,0.0,0,Thomas,0.2,0.03,0.0,0.0,119,1,162,0,0.07,Muscle injury - Unknown return date,2023-10-25T12:00:07.465521Z,665,,0.0,8477,0.0,60.0,1.5,58,2,0,0,0.28,295,204,1.8,55.8,250,0,i,0.21,308,1.08,321,2,0,False,0.0,0,7,0.91
16,Nicolas Pépé,49,MID,Arsenal,0,0,0,0,6177,0,0.0,-1,0,0,,,179,0.0,242,0.0,298,515,282,296,0.0,0,704,0.0,0.0,703,155,0.0,297,0.00,0.0,0,Pepe,0.0,0.0,0.0,0.0,298,0,294,0,0.00,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,678,,0.0,667,0.0,0.0,0.0,0,0,0,0,0.00,701,699,0.0,0.0,0,0,u,0.00,23,0.0,696,1,0,False,0.0,0,0,0.0
17,Aaron Ramsdale,47,GKP,Arsenal,0,3922,0,5,1249465,0,0.25,-3,0,4,,,9,0.0,325,1.0,23,49,83,78,1.0,0,154,5.1,0.0,376,12,0.0,23,3.73,,0,Ramsdale,7.6,0.0,,1.25,15,1,76,0,0.00,,,656,,0.0,217512,0.0,0.0,2.3,55,4,0,0,0.01,301,683,2.8,51.0,360,0,a,0.01,15347,1.0,676,3,0,False,0.5,0,11,0.93
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,0,0,0,0,9694,0,0.0,0,0,0,,,59,0.0,628,0.0,52,411,51,36,0.0,0,500,0.0,0.0,496,44,0.0,52,0.00,0.0,0,Rúnarsson,0.1,0.0,0.0,0.0,52,0,29,0,0.00,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,423,,0.0,990,0.0,0.0,0.0,0,0,0,0,0.00,489,474,0.0,0.0,0,0,u,0.00,83,0.0,450,0,0,False,0.0,0,0,0.0
19,Bukayo Saka,86,MID,Arsenal,0,97393,6,0,3252018,8,0.38,1,0,11,1.0,,1,0.72,7,0.95,2,2,23,3,4.1,0,5,111.3,351.0,3,5,0.32,5,8.62,75.0,0,Saka,50.2,0.4,100.0,0.0,3,4,8,0,4.15,,2023-11-09T08:30:08.290130Z,48,1.0,0.5,2397082,4.5,424.0,8.3,264,10,1,4,7.48,13,4,6.5,338.2,945,0,a,3.33,39086,1.05,14,-1,2,True,5.0,5,71,0.82
20,William Saliba,54,DEF,Arsenal,0,189411,1,0,1202360,5,0.42,4,1,12,,,3,0.1,127,0.83,35,11,12,58,5.8,-1,37,34.9,44.0,128,9,0.04,14,9.55,100.0,0,Saliba,30.3,0.06,100.0,0.0,8,5,58,0,0.70,,2023-10-09T08:30:07.861646Z,39,,0.9,2162894,4.8,53.8,10.2,250,10,0,1,1.16,49,218,4.6,249.8,1080,0,a,0.46,6486,1.0,216,-4,0,True,5.3,9,55,0.8
22,Emile Smith Rowe,53,MID,Arsenal,0,12,1,0,14996,0,0.87,-2,0,1,,,130,0.73,141,0.0,152,402,90,174,0.7,0,221,9.1,41.0,336,90,0.04,149,0.17,25.0,0,Smith Rowe,0.1,0.69,25.0,0.0,95,1,117,0,0.80,Knee injury - 25% chance of playing,2023-11-02T11:00:07.493976Z,193,,0.3,4624,1.8,17.2,1.7,24,0,0,0,0.85,341,333,2.2,33.8,104,0,d,0.05,288,0.87,223,2,0,False,0.6,0,9,0.15
24,Kieran Tierney,44,DEF,Arsenal,0,0,0,0,27848,0,0.0,-1,0,0,,,154,0.0,505,0.0,227,398,207,227,0.0,0,598,0.0,0.0,592,105,0.0,227,0.00,0.0,0,Tierney,0.1,0.0,0.0,0.0,225,0,225,0,0.00,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,539,,0.0,2665,0.0,0.0,0.0,0,0,0,0,0.00,585,575,0.0,0.0,0,0,u,0.00,86,0.0,561,1,0,False,0.0,0,0,0.0
25,Takehiro Tomiyasu,45,DEF,Arsenal,1,3239,0,0,25041,0,0.22,0,0,3,,,95,0.13,388,0.87,101,247,23,104,4.0,0,238,14.7,46.0,289,75,0.05,105,4.77,100.0,0,Tomiyasu,0.4,0.08,100.0,0.0,79,1,51,0,0.38,,2023-08-22T00:00:07.272418Z,89,,0.7,35432,3.0,26.2,4.4,76,4,0,1,0.61,261,306,2.0,76.8,415,0,a,0.23,1054,0.65,207,0,0,False,3.5,2,20,1.03
26,Leandro Trossard,65,MID,Arsenal,0,37854,1,0,505425,6,0.3,-5,0,3,4.0,,36,0.62,46,0.9,57,128,14,69,6.2,0,44,43.7,151.0,91,28,0.32,54,2.18,100.0,0,Trossard,2.2,0.3,100.0,0.0,25,1,40,0,1.01,,2023-10-09T08:30:07.911344Z,25,,0.8,174465,5.2,127.3,5.4,118,3,0,3,2.06,135,95,4.4,158.2,300,0,a,1.05,2756,0.9,65,5,2,False,5.7,13,35,0.65
29,Benjamin White,58,DEF,Arsenal,0,6768,1,0,681806,7,0.48,3,0,11,,,8,0.13,75,0.86,13,24,51,11,3.0,0,29,48.2,77.0,74,6,0.08,21,9.24,,0,White,14.9,0.05,75.0,0.0,6,5,22,0,0.56,Muscle injury - 75% chance of playing,2023-11-12T02:00:08.673390Z,170,,0.3,1193688,2.0,176.2,9.1,236,9,2,1,1.38,69,56,4.8,229.0,947,0,d,0.82,139831,1.05,151,-3,2,False,1.9,0,53,0.88
30,Granit Xhaka,60,MID,Arsenal,0,0,0,0,1184,0,0.0,0,0,0,,,272,0.0,63,0.0,319,670,316,319,0.0,0,734,0.0,0.0,735,39,0.0,319,0.00,0.0,0,Xhaka,0.0,0.0,0.0,0.0,319,0,319,0,0.00,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,726,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,735,735,0.0,0.0,0,0,u,0.00,5,0.0,735,0,0,False,0.0,0,0,0.0
31,Oleksandr Zinchenko,49,DEF,Arsenal,0,81317,0,0,463475,6,0.54,-1,0,8,,,20,0.19,247,0.81,24,62,11,13,5.8,0,61,40.0,73.0,102,31,0.14,49,5.52,,0,Zinchenko,6.8,0.05,,0.0,12,4,26,0,0.34,,,37,,1.0,445411,4.8,170.2,9.0,191,6,1,1,1.34,137,63,4.0,157.8,663,0,a,1.00,3896,1.09,155,1,1,False,5.3,10,44,0.75
113,David Raya Martin,49,GKP,Arsenal,0,7672,0,12,405242,2,0.5,-1,0,8,,,14,0.0,235,0.75,21,85,5,81,4.2,0,43,11.1,0.0,319,8,0.0,21,5.82,,0,Raya,4.7,0.0,0.0,1.5,3,4,80,0,0.00,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,2023-11-13T01:00:08.923385Z,81,,0.7,363530,3.2,0.0,7.1,152,6,0,0,0.00,207,696,4.4,112.0,720,0,n,0.00,21727,1.0,693,1,0,False,0.0,3,35,0.73
540,Declan Rice,54,MID,Arsenal,0,10580,1,0,445952,5,0.44,-1,0,12,,,23,0.15,122,0.79,43,75,18,50,5.8,0,80,51.5,99.0,66,77,0.07,13,8.84,100.0,0,Rice,5.4,0.08,100.0,0.0,39,5,73,0,0.90,,2023-09-24T22:30:08.321972Z,38,,0.9,330058,4.8,151.3,8.5,217,9,0,2,1.64,41,69,3.8,263.8,1023,0,a,0.74,12315,1.06,119,1,1,False,5.3,2,46,0.78
578,Reiss Nelson,49,MID,Arsenal,0,113,0,0,6082,0,0.0,-1,0,0,,,184,0.24,243,0.0,171,522,157,149,1.5,0,419,5.3,10.0,374,156,0.21,180,0.56,100.0,0,Nelson,0.0,0.03,100.0,0.0,203,0,177,0,0.02,,2023-08-07T15:30:06.067296Z,328,,0.1,5560,0.5,32.4,1.0,17,0,0,0,0.16,399,279,1.0,10.8,61,0,a,0.14,124,0.0,348,1,0,False,1.0,1,5,0.83
585,Jurriën Timber,46,DEF,Arsenal,0,40,0,0,475295,0,0.0,-4,0,1,,,93,0.02,347,0.0,156,240,228,145,0.0,0,690,0.6,0.0,439,48,0.02,157,0.28,0.0,0,J.Timber,0.5,0.0,0.0,0.0,238,0,239,0,0.00,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,651,,0.0,11785,0.0,2.4,0.0,3,0,1,0,0.01,431,393,0.0,3.6,49,0,i,0.01,421,1.84,674,4,0,False,0.0,0,0,0.51
646,Karl Hein,40,GKP,Arsenal,0,109,0,0,2467,0,0.0,0,0,0,,,68,0.0,679,0.0,68,505,67,52,1.0,0,544,0.0,0.0,539,60,0.0,68,0.00,,0,Hein,0.1,0.0,,0.0,68,0,45,0,0.00,,,469,,0.0,3567,0.0,0.0,0.0,0,0,0,0,0.00,532,517,0.0,0.0,0,0,a,0.00,115,0.0,494,0,0,False,0.5,0,0,0.0
