id,name,now_cost,position,team,influence_rank_type,now_cost_rank,threat_rank_type,bps,points_per_game_rank,expected_assists_per_90,points_per_game_rank_type,total_points,transfers_in_event,transfers_out_event,form_rank,in_dreamteam,news,goals_conceded_per_90,expected_assists,corners_and_indirect_freekicks_order,expected_goals_conceded,cost_change_event_fall,form,minutes,chance_of_playing_next_round,expected_goals_conceded_per_90,starts,ep_next,web_name,selected_rank,points_per_game,assists,expected_goals_per_90,ict_index_rank,creativity_rank,chance_of_playing_this_round,status,penalties_saved,selected_by_percent,saves_per_90,saves,threat_rank,news_added,dreamteam_count,cost_change_event,transfers_in,ict_index_rank_type,influence_rank,direct_freekicks_order,event_points,goals_conceded,value_form,starts_per_90,expected_goal_involvements_per_90,selected_rank_type,cost_change_start,ep_this,penalties_missed,threat,red_cards,own_goals,clean_sheets_per_90,expected_goals,yellow_cards,creativity,ict_index,influence,expected_goal_involvements,penalties_order,clean_sheets,bonus,now_cost_rank_type,goals_scored,transfers_out,value_season,creativity_rank_type,cost_change_start_fall,form_rank_type
1,Folarin Balogun,44,FWD,Arsenal,57,525,59,0,606,0.0,63,0,0,280,550,False,Transferred to Monaco,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Balogun,303,0.0,0,0.0,600,584,0.0,u,0,0.2,0.0,0,570,2023-08-31T08:55:15.272751Z,0,0,10024,59,593,,0,0,0.0,0.0,0.0,47,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,92,0,59296,0.0,60,1,57
2,Cédric Alves Soares,39,DEF,Arsenal,160,712,147,0,466,0.0,156,0,775,779,384,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.5,Cédric,248,0.0,0,0.0,461,436,,a,0,0.4,0.0,0,411,,0,0,27059,159,455,,0,0,0.0,0.0,0.0,96,-1,1.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,226,0,28908,0.0,157,1,119
3,Mohamed Elneny,44,MID,Arsenal,206,493,197,12,57,0.0,31,4,386,415,245,False,,0.0,0.00,,0.00,0,1.0,1,100.0,0.0,0,1.5,M.Elneny,400,4.0,1,0.0,443,417,100.0,a,0,0.1,0.0,0,395,2023-08-11T13:00:06.079379Z,0,0,11440,207,441,,0,0,0.2,0.0,0.0,129,-1,2.0,0,2.0,0,0,0.0,0.00,0,0.5,0.4,1.8,0.00,,0,0,282,0,14168,0.9,208,1,115
4,Fábio Ferreira Vieira,54,MID,Arsenal,102,126,91,62,179,0.13,78,21,37,905,241,False,Suspended until 09 Dec,0.76,0.35,5.0,1.48,0,1.2,236,0.0,0.56,2,0.0,Fábio Vieira,390,2.6,3,0.46,225,190,100.0,s,0,0.1,0.0,0,149,2023-11-12T02:00:08.552136Z,0,0,11345,110,255,,-2,2,0.2,0.76,0.59,127,-1,2.2,0,77.0,1,0,0.38,1.20,0,63.6,21.9,79.4,1.55,4.0,1,0,81,1,15533,3.9,112,1,114
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,65,302,52,142,145,0.01,49,29,18304,15886,235,False,,0.85,0.11,,7.50,0,1.2,744,100.0,0.91,8,1.7,Gabriel,23,2.9,0,0.04,234,304,100.0,a,0,14.9,0.0,0,208,2023-09-30T23:00:07.672676Z,0,0,853769,73,164,,2,7,0.3,0.97,0.05,7,-2,2.2,0,46.0,0,0,0.36,0.34,1,26.6,21.1,137.8,0.45,,3,2,35,0,2272040,6.0,102,2,77
6,Kai Havertz,71,MID,Arsenal,93,28,41,64,230,0.09,100,25,1077,2062,225,False,,0.76,0.69,,6.22,0,1.5,711,,0.79,8,2.0,Havertz,144,2.1,1,0.29,112,89,,a,0,1.5,0.0,0,67,,0,0,38453,64,235,,1,6,0.2,1.01,0.38,43,-4,2.5,0,147.0,0,0,0.38,2.30,4,129.8,37.3,96.4,2.99,3.0,3,0,16,1,347790,3.5,64,4,107
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,33,15,25,51,182,0.07,24,18,653,5017,337,False,Hamstring injury - 25% chance of playing,0.99,0.30,,4.22,0,0.5,362,25.0,1.05,4,0.2,G.Jesus,132,2.6,1,0.43,194,210,25.0,d,0,1.9,0.0,0,70,2023-10-24T23:30:07.618920Z,0,0,401748,30,276,,0,4,0.1,0.99,0.5,22,-2,0.4,0,144.0,0,0,0.5,1.71,2,58.7,26.9,67.8,2.01,,2,2,6,1,518583,2.3,33,2,43
9,Jorge Luiz Frello Filho,53,MID,Arsenal,130,132,181,60,318,0.07,149,13,382,283,220,False,,1.42,0.30,,4.68,0,1.5,381,100.0,1.11,4,2.0,Jorginho,326,1.4,0,0.02,309,187,100.0,a,0,0.2,0.0,0,356,2023-08-07T15:30:05.168632Z,0,0,7279,139,304,,2,6,0.3,0.94,0.09,97,-2,2.5,0,9.0,0,0,0.24,0.09,1,64.7,12.3,49.6,0.39,,1,0,83,0,14998,2.5,111,2,103
10,Jakub Kiwior,43,DEF,Arsenal,136,597,105,42,213,0.02,73,9,103,162,174,False,,0.99,0.05,,0.87,0,1.8,182,,0.43,2,2.3,Kiwior,423,2.2,0,0.16,373,376,,a,0,0.1,0.0,0,314,,0,0,3690,134,353,,1,2,0.4,0.99,0.18,163,-2,2.8,0,16.0,0,0,0.49,0.32,0,6.4,5.3,29.4,0.37,,1,0,153,0,7352,2.1,137,2,52
11,Marcus Oliveira Alencar,45,MID,Arsenal,262,427,258,0,662,0.0,269,0,0,50,615,False,Season long loan to FC Nantes,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Marquinhos,514,0.0,0,0.0,658,648,0.0,u,0,0.0,0.0,0,638,2023-08-14T03:57:12.475590Z,0,0,819,266,652,,0,0,0.0,0.0,0.0,178,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,246,0,11419,0.0,263,0,239
